,model,vol,score_id_flat
0,lg2unetr,volume0,0.48693065700076876
1,lg2unetr,volume1,0.7968921899795532
2,lg2unetr,volume2,0.8187195972392434
3,unet1s,volume0,0.62134945108777
4,unet1s,volume1,0.8296484291553498
5,unet1s,volume2,0.826578720619804
6,swinunetr,volume0,0.5662710723422822
7,swinunetr,volume1,0.81151864528656
8,swinunetr,volume2,0.8415573741260328
9,unetpp0,volume0,0.640367348988851
10,unetpp0,volume1,0.8229176640510559
11,unetpp0,volume2,0.833046693550913
12,unetpp0D,volume0,0.6643962945256915
13,unetpp0D,volume1,0.8145710110664368
14,unetpp0D,volume2,0.8568239337519595
